neighborhood,price,beds,baths,toilets,extra
magboroMagboro Obafemi Owode Ogun,"₦ 400,000",3 beds,3 baths,4 Toilets,Furnished Newly Built24-hours Security Spacious Rooms Ample Parking Space Kitchen Cabinets Cross .. 
Private EstateMagboro Obafemi Owode Ogun,"₦ 500,000",3 beds,3 baths,4 Toilets,24-hours Security Spacious Rooms Ample Parking Space Kitchen Cabinets Cross .. 
ArepoArepo Arepo Ogun,"₦ 450,000",2 beds,2 baths,3 Toilets,Furnished24-hours Security Spacious Rooms Ample Parking Space Kitchen Cabinets Cross .. 
"Citiview Estate, ArepoArepo Arepo Ogun","₦ 1,500,000",3 beds,3 baths,3 Toilets,24-hours Security Spacious Rooms Water heater Ample Parking Space Kitchen Ca.. 
Magboro Obafemi Owode Ogun,"₦ 600,000",3 beds, baths, Toilets,Furnished Newly Built24-hours Security Spacious Rooms Water heater Ample Parking Space Kitchen Ca.. 
MagboroMagboro Obafemi Owode Ogun,"₦ 400,000",3 beds,3 baths,3 Toilets,Furnished24-hours Security Spacious Rooms Water heater Ample Parking Space Kitchen Ca.. 
magboroMagboro Obafemi Owode Ogun,"₦ 250,000",1 beds,1 baths,2 Toilets,Furnished Newly Built24-hours Security Spacious Rooms Water heater Ample Parking Space Kitchen Ca.. 
Ishasi (Ogun State side of Ojodu Berger)Berger Ojodu Lagos,"₦ 400,000",3 beds,3 baths,4 Toilets,24-hours Security Spacious Rooms Water heater Ample Parking Space Kitchen Ca.. 
magboroMagboro Obafemi Owode Ogun,"₦ 300,000",2 beds,2 baths,3 Toilets,Furnished24-hours Security Spacious Rooms Water heater Ample Parking Space Kitchen Ca.. 
LaderinOke Mosan Abeokuta Ogun,"₦ 450,000",2 beds,2 baths,3 Toilets,24-hours Security Spacious Rooms Water heater Ample Parking Space Kitchen Ca.. 
Private EstateArepo Ogun,"₦ 600,000",3 beds,3 baths,4 Toilets,24-hours Security Spacious Rooms Water heater Ample Parking Space Kitchen Ca.. 
Obafemi Owode Ogun,"₦ 400,000",2 beds, baths, Toilets,Furnished24-hours Security Spacious Rooms Water heater Ample Parking Space Kitchen Ca.. 
Forthright. GardensArepo Arepo Ogun,"₦ 700,000",2 beds,2 baths,3 Toilets,Newly Built24-hours Security Spacious Rooms Water heater Ample Parking Space Kitchen Ca.. 
Private estate ArepoArepo Arepo Ogun,"₦ 700,000",3 beds,3 baths,4 Toilets,Furnished Newly Built24-hours Security Spacious Rooms Water heater Ample Parking Space Kitchen Ca.. 
Makogi magboroMagboro Obafemi Owode Ogun,"₦ 400,000",4 beds,4 baths,5 Toilets,Furnished Newly Built24-hours Security Spacious Rooms Water heater Ample Parking Space Kitchen Ca.. 
Private EstateMagboro Obafemi Owode Ogun,"₦ 350,000",2 beds,2 baths,3 Toilets,Newly Built24-hours Security Spacious Rooms Water heater Ample Parking Space Kitchen Ca.. 
magboroMagboro Obafemi Owode Ogun,"₦ 350,000",2 beds,2 baths,3 Toilets,Furnished Newly Built24-hours Security Spacious Rooms Water heater Ample Parking Space Kitchen Ca.. 
